jogo_id;data;fase;selecao;adversario;campo_faltante;fontes_tentadas;motivo_falha;prioridade;acao_recomendada
GA02;2026-06-12;Fase de grupos;Coreia do Sul;Tchéquia;"xg_pro;xg_contra;finalizacoes;finalizacoes_alvo;grandes_chances;posse_pct";"FIFA Match Centre;Wikipedia";Prévia indexada sem tabela completa de estatísticas avançadas.;Alta;Reabrir o match centre oficial após maior indexação ou validar por Sofascore/FotMob.
GA03;2026-06-18;Fase de grupos;Tchéquia;África do Sul;"jogador_destaque_oficial;rating_jogador_destaque";"FIFA Match Centre;Wikipedia";Seção de POTM não foi capturada no trecho aberto.;Media;Abrir novamente a seção final da página do jogo ou checar lista oficial de POTM da FIFA.
GC01;2026-06-13;Fase de grupos;Brasil;Marrocos;"xg_pro;xg_contra;finalizacoes_contra;finalizacoes_alvo_contra;grandes_chances";FIFA Match Centre;Prévia exibiu estatísticas parciais sem granularidade bilateral confiável.;Alta;Validar com FBref pós-indexação ou Sofascore/FotMob.
GC02;2026-06-14;Fase de grupos;Haiti;Escócia;"cartoes;posse_pct;finalizacoes";FIFA Match Centre;Busca retornou resultado e artilheiro, mas não a planilha completa do jogo.;Alta;Completar com match centre ou página de grupo correspondente.
GC05;2026-06-24;Fase de grupos;Marrocos;Haiti;"jogador_destaque_oficial;rating;cartoes";FIFA Match Report;Relatório do jogo trouxe artilheiros, mas não todos os eventos estruturados via snippet.;Media;Validar em página do grupo C ou Match Centre.
R32_73;2026-06-28;Round of 32;África do Sul;Canadá;"xg_pro;xg_contra;finalizacoes_alvo;defesas_goleiro";"FIFA Match Centre;Reuters";"Prévia exibiu posse e volume parcial; faltou tabela completa para ambos os lados.";Alta;Reprocessar quando o match centre estiver totalmente indexado.
R32_74;2026-06-29;Round of 32;Alemanha;Paraguai;"cobrancas_convertidas;cobrancas_perdidas;cobrancas_defendidas;goleiro;detalhe_cobradores";"FIFA Match Centre;FIFA Match Report";Snippet confirmou placar da disputa, mas não detalhou cobradores.;Alta;Complementar via relatório oficial ou cobertura estruturada confiável.
R32_75;2026-06-29;Round of 32;Marrocos;Países Baixos;"cobradores_convertidos;cobradores_perderam;defesas_penaltis";"FIFA Match Report;Reuters";Relatório aberto confirmou o PSO, mas sem nomes detalhados de todos os cobradores.;Alta;Coletar do match centre completo após indexação.
NA;NA;Fase de grupos;Grupos B,D,E,F,G,H,I,J,K,L;NA;desempenho_jogo_a_jogo detalhado;"Wikipedia;FIFA";Extração completa dos 60 jogos fora dos grupos A e C ficou fora da coleta desta entrega.;Media;Executar segunda passada priorizando match pages por grupo.
NA;NA;Torneio;48 seleções;NA;"xG consolidado por seleção;indices derivados";"FIFA Match Centre;FBref";Ausência de cobertura estável e aberta para todas as partidas já concluídas.;Alta;Gerar nova rodada quando FBref ou Match Centre estiverem integralmente acessíveis.
