fonte;url;tipo_fonte;tipo_dado;escopo;selecoes_cobertas;jogos_cobertos;data_acesso;nivel_confianca;observacao
FIFA torneio;https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026;oficial;resultado;estrutura e portal do torneio;48;104;2026-06-30;Alta;Fonte-mãe do torneio, confirmando formato e navegação oficial.
FIFA standings;https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/standings;oficial;resultado;classificação da fase de grupos;48;72;2026-06-30;Alta;Camada de classificação oficial do torneio.
FIFA match centre;https://www.fifa.com/en/match-centre/match;match_center;estatistica_time;placar, posse e tentativas quando indexáveis;NA;16;2026-06-30;Alta;Pré-visualizações de buscas expuseram scorelines e parte das estatísticas de alguns jogos.
FIFA match reports;https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles;oficial;estatistica_jogador;artilheiros, jogadores decisivos e contexto dos jogos;NA;16;2026-06-30;Alta;Usado para gols, jogadores da partida e contexto técnico.
FIFA Training Centre;https://www.fifatrainingcentre.com;relatorio_tecnico;analise_tatica;links de post match summary report citados nas páginas de grupos;NA;6;2026-06-30;Media;"Identificado nas referências das páginas de grupos; não foi totalmente indexável na interface."
FBref World Cup Stats;https://fbref.com/en/comps/1/World-Cup-Stats;estatistica;estatistica_jogador;lideranças do torneio;NA;NA;2026-06-30;Media;Busca exibiu líderes de gols, assistências e clean sheets, mas a abertura direta retornou 403.
Reuters World Cup;https://www.reuters.com/sports/world-cup/;noticia;lesoes;contexto de lesões, suspensões e repercussões;NA;NA;2026-06-30;Alta;Usado para Souček, Son, pênaltis e contexto regulatório de suspensões.
Wikipedia páginas de grupos;https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_Group_A;secundaria;escalação;agregação estruturada por grupo com referências FIFA;48;72;2026-06-30;Media;Usado como camada de apoio para ler placares, datas, cartões, escalações e jogadores da partida.
FIFA World Ranking;https://inside.fifa.com/fifa-world-ranking/men;oficial;ranking;força oficial das seleções;NA;NA;2026-08-06;Alta;Snapshots só podem entrar no modelo quando published_at antecede o corte da previsão.
football-data.org v4;https://api.football-data.org/v4;api_independente;resultado_historico;calendário, placares e confrontos;NA;NA;2026-08-06;Media-Alta;Feed opcional autenticado por variável de ambiente e preservado como confirmação independente.
Hudl StatsBomb Open Data;https://github.com/statsbomb/open-data;open_data;eventos_historicos;eventos, escalações e 360 nas competições cobertas;NA;NA;2026-08-06;Media-Alta;Uso restrito a pré-treinamento e validação de features com cobertura declarada.
Open-Meteo Previous Runs;https://previous-runs-api.open-meteo.com/v1/forecast;api_previsao_arquivada;clima_pre_jogo;temperatura, umidade, chuva e vento previstos;NA;NA;2026-08-06;Media-Alta;Usa a execução prevista anterior ao jogo e nunca a observação meteorológica pós-jogo.
