data_execucao;item_pesquisado;tipo_item;status;fonte_usada;campos_preenchidos;campos_nao_encontrados;observacao
2026-06-30;Estrutura geral do torneio;torneio;completo;FIFA;"formato;equipes;fase atual";NA;Confirmado o formato de 48 seleções e 104 partidas.
2026-06-30;Standings Grupo A;grupo;completo;Wikipedia+FIFA;"posicoes;pontos;gols;classificados";"xG;stat advanced";Página de grupo abriu com tabela completa e referência FIFA.
2026-06-30;Standings Grupos B-L;grupo;completo;Wikipedia+FIFA;"posicoes;pontos;gols;classificados";"xG;stat advanced";Todas as tabelas de grupos foram abertas e consolidadas.
2026-06-30;Jogos Grupo A;jogo;completo;Wikipedia+FIFA+Reuters;"placar;data;gols;cartoes;POTM parcial";"xG;ratings";Grupo A ficou com maior nível de detalhe nesta entrega.
2026-06-30;Jogos Grupo C;jogo;parcial;FIFA Match Report;"placar;data;gols principais";"cartoes completos;xG;ratings";Resultados e artilheiros confirmados, mas sem planilha completa.
2026-06-30;Round of 32 já finalizados;jogo;parcial;FIFA Match Centre+Reports+Reuters;"placar;classificado;PSO quando houve";"cobradores detalhados;xG bilateral";Quatro jogos confirmados até o momento do acesso.
2026-06-30;Lideranças de jogadores do torneio;estatistica_jogador;parcial;FBref+FIFA;"artilharia;assistencias;clean sheets";minutagem completa;FBref retornou snippet com líderes, mas abertura direta bloqueou.
2026-06-30;Lesões e suspensão contextual;macro;parcial;Reuters;"Soucek;Son;regra de anistia";lista integral de suspensoes;Reuters serviu como camada macro de contexto.
2026-06-30;Coleta de xG consolidado;estatistica_time;falhou;FIFA Match Centre+FBref;NA;"xg;xga;grandes chances";A disponibilidade pública aberta não foi estável para todas as partidas.
2026-06-30;Checagem de divergências de fontes;auditoria;duplicado_revisado;FIFA+Reuters+Wikipedia+ESPN;"scorelines;qualificados;ids corrigidos";NA;"Quando houve divergência potencial, prevaleceu fonte oficial ou cobertura noticiosa confiável; IDs R32_75/R32_76 foram normalizados ao repositório."
