jogo,fase,grupo,data,horaLocal,estadio,cidade,pais,equipe1,equipe2,codigo1,codigo2,placar_simulado,gols1_sim,gols2_sim,xg1_modelo,xg2_modelo,vencedor_simulado,decidido_penaltis,confianca_modelo,forca_equipe1,forca_equipe2,estilo_equipe1,estilo_equipe2,tecnico_equipe1,tecnico_equipe2,arbitro_principal,arbitro_associacao,assistente1,assistente2,var,rigor_cartoes_simulado_0_10,fluidez_jogo_simulada_0_10,cartoes_equipe1_proxy,cartoes_equipe2_proxy
1,Fase de grupos,A,2026-06-11,13:00,Estadio Azteca,Mexico City,México,México,África do Sul,MEX,RSA,2-1,2,1,1.46,0.95,México,Não,alta,67.9,59.3,"pragmático, competitivo, transição e bola parada",bloco compacto e contra-ataque,AGUIRRE Javier,BROOS Hugo,AL JASSIM Abdulrahman,QAT,ABEIGNE Amos,ABOUELREGAL Mahmoud,AL-MARRI Khamis,7.9,6.7,5,3
2,Fase de grupos,A,2026-06-11,20:00,Estadio Akron,Guadalajara,México,Coreia do Sul,Tchéquia,KOR,CZE,2-1,2,1,1.23,1.05,Coreia do Sul,Não,média,67.4,61.8,"intensidade, velocidade e jogo pelos lados","jogo físico, direto e forte em bolas paradas",HONG Myungbo,KOUBEK Miroslav,AL TURAIS Khalid,KSA,AKARKAD Mostafa,AL ABAKRY Mohammed,ALSHEHRI Abdullah,4.8,6.1,3,2
3,Fase de grupos,B,2026-06-12,15:00,BMO Field,Toronto,Canadá,Canadá,Bósnia e Herzegovina,CAN,BIH,3-1,3,1,1.55,0.89,Canadá,Não,alta,67.0,55.0,"pressão alta, verticalidade e transição rápida","jogo direto, experiência e cruzamentos",MARSCH Jesse,BARBAREZ Sergej,ARAKI Yusuke,JPN,AL HAMMADI Mohamed,AL KALAF Mohammad,ASHOUR Mahmoud,5.8,5.0,4,2
4,Fase de grupos,D,2026-06-12,18:00,SoFi Stadium,Los Angeles,Estados Unidos,Estados Unidos,Paraguai,USA,PAR,2-0,2,0,1.53,0.87,Estados Unidos,Não,alta,71.0,59.7,"pressão, energia e 4-2-3-1 agressivo","bloco baixo/médio, duelos e jogo reativo",POCHETTINO Mauricio,ALFARO Gustavo,ARTAN Omar Abdulkadir,SOM,AL MAQALEH Saoud,AL MARRI Taleb,BEBEK Ivan,6.5,5.8,4,3
5,Fase de grupos,C,2026-06-13,21:00,Gillette Stadium,Boston,Estados Unidos,Haiti,Escócia,HAI,SCO,2-2,2,2,0.92,1.34,Empate,Não,alta,59.2,68.9,"bloco baixo, luta física e transições","linha de 5, intensidade e bola parada",MIGNE Sebastien,CLARKE Steve,ATCHO Pierre,GAB,AL ROALLE Ahmad,ARFA Lyes,BRISARD Jerome,7.6,7.7,4,3
6,Fase de grupos,D,2026-06-13,21:00,BC Place,Vancouver,Canadá,Austrália,Turquia,AUS,TUR,1-3,1,3,0.9,1.3,Turquia,Não,alta,60.9,69.0,"organização, força física e jogo direto",posse vertical e talento entrelinhas,POPOVIC Tony,MONTELLA Vincenzo,BARTON Ivan,SLV,ATKINS Kyle,BARREIRO Carlos,DANKERT Bastian,5.8,4.5,3,3
7,Fase de grupos,C,2026-06-13,18:00,MetLife Stadium,New York/New Jersey,Estados Unidos,Brasil,Marrocos,BRA,MAR,1-0,1,0,1.25,1.01,Brasil,Não,média,67.9,63.5,"equilíbrio, liberdade ofensiva e transição de elite",organização defensiva e contra-ataque,ANCELOTTI Carlo,OUAHBI Mohamed,BEIDA Dahane,MTN,BARWEGEN Micheal,BASHEVKIN Isaak,DEL CERRO GRANDE Carlos,6.9,5.9,5,4
8,Fase de grupos,B,2026-06-13,12:00,Levi's Stadium,San Francisco Bay Area,Estados Unidos,Catar,Suíça,QAT,SUI,0-2,0,2,1.06,1.19,Suíça,Não,baixa,66.6,70.1,"posse, saída curta e controle territorial","sistema flexível, bloco médio e eficiência",LOPETEGUI Julen,YAKIN Murat,BENITEZ Juan Gabriel,PAR,KUPSIK Adam,BEIGI Mahbod,DELAJOD Willy,6.5,5.3,3,3
9,Fase de grupos,E,2026-06-14,19:00,Lincoln Financial Field,Philadelphia,Estados Unidos,Costa do Marfim,Equador,CIV,ECU,1-2,1,2,1.13,1.11,Equador,Não,baixa,63.2,61.9,"força física, transição e ataques pelos lados","pressão, intensidade e laterais altos",FAE Emerse,BECCACECE Sebastian,CALDERON Juan,CRC,BELATTI Juan Pablo,BESWICK Gary,DI BELLO Marco,6.2,7.5,3,4
10,Fase de grupos,E,2026-06-14,12:00,NRG Stadium,Houston,Estados Unidos,Alemanha,Curaçao,GER,CUW,0-2,0,2,1.31,0.93,Curaçao,Não,alta,69.5,59.5,"pressão, rotação posicional e jogo entrelinhas","pragmatismo, bloco compacto e experiência",NAGELSMANN Julian,ADVOCAAT Dick,CLAUS Raphael,BRA,BINDONI Daniele,BISGUERRA Marco,DICKERSON Joe,8.2,4.9,4,3
