Função,Nome,Associação,Perfil de arbitragem FIFA 2026,Como avaliar individualmente,Fonte,rigor_cartoes_simulado_0_10,fluidez_jogo_simulada_0_10,var_intervencao_simulada_0_10,penalti_tendencia_simulada_0_10,observacao_simulacao
Referee,AL JASSIM Abdulrahman,QAT,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,7.9,6.7,6.6,4.0,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,AL TURAIS Khalid,KSA,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,4.8,6.1,5.0,7.3,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,ARAKI Yusuke,JPN,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,5.8,5.0,8.1,7.4,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,ARTAN Omar Abdulkadir,SOM,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,6.5,5.8,6.3,5.3,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,ATCHO Pierre,GAB,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,7.6,7.7,7.5,5.9,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,BARTON Ivan,SLV,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,5.8,4.5,5.2,6.3,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,BEIDA Dahane,MTN,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,6.9,5.9,7.3,6.1,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,BENITEZ Juan Gabriel,PAR,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,6.5,5.3,6.0,6.4,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,CALDERON Juan,CRC,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,6.2,7.5,8.0,5.2,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
Referee,CLAUS Raphael,BRA,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf,8.2,4.9,4.8,5.9,Perfil sintético para simulação; não representa média oficial individual de faltas/cartões.
