grupo,selecao,selecao_xlsx,codigo,tecnico,estilo_tecnico,sistema_base,intensidade,posse,pressao,risco_tatico,jogadores,media_proxy,top11_proxy,top18_proxy,ataque_score,meio_score,defesa_score,goleiro_score,caps_media,caps_total,gols_selecao_total,experiencia_score,intensidade_valor,posse_valor,pressao_valor,forca_modelo_0_100
J,Argélia,Algeria,ALG,PETKOVIC Vladimir,"posse moderada, experiência e jogo pelos lados",4-2-3-1 / 4-3-3,média,média,situacional,dependência de pontas e veteranos criativos,26,6.22,7.55,6.92,5.3,6.01,5.81,4.8,31.1,809,123,8.01,5.0,5.0,5.0,64.8
J,Argentina,Argentina,ARG,SCALONI Lionel,"controle, flexibilidade e competitividade",4-3-3 / 4-4-2 ajustável,média-alta,alta,situacional,ritmo físico de veteranos,26,6.62,8.1,7.53,5.56,7.2,5.91,6.0,49.3,1283,228,9.05,6.8,8.0,5.0,70.9
D,Austrália,Australia,AUS,POPOVIC Tony,"organização, força física e jogo direto",4-4-2 / 4-2-3-1,alta,baixa-média,média,dificuldade contra blocos fechados,26,5.46,7.15,6.34,4.91,5.44,5.01,5.73,30.0,781,75,7.93,8.0,4.0,5.0,60.9
J,Áustria,Austria,AUT,RANGNICK Ralf,"gegenpressing, verticalidade e pressão constante",4-2-2-2 / 4-2-3-1,muito alta,média,alta,espaço nas costas da pressão,26,6.28,8.03,7.19,4.98,6.5,5.5,5.37,39.8,1036,151,8.57,9.0,5.0,8.0,67.6
G,Bélgica,Belgium,BEL,GARCIA Rudi,posse com veteranos criativos e transição,4-3-3 / 4-2-3-1,média,alta,situacional,retorno defensivo e envelhecimento,26,6.4,8.22,7.41,5.42,6.95,5.61,6.03,43.0,1117,214,8.74,5.0,8.0,5.0,69.8
B,Bósnia e Herzegovina,Bosnia And Herzegovina,BIH,BARBAREZ Sergej,"jogo direto, experiência e cruzamentos",4-2-3-1,média,baixa-média,baixa,baixa mobilidade defensiva,26,5.18,6.43,5.84,4.26,4.8,4.97,4.77,24.8,645,97,7.51,5.0,4.0,3.0,55.0
C,Brasil,Brazil,BRA,ANCELOTTI Carlo,"equilíbrio, liberdade ofensiva e transição de elite",4-3-3 / 4-2-3-1,alta,alta,alta situacional,espaço entre linhas quando perde bola,26,6.15,7.79,7.09,5.51,6.42,5.44,6.4,37.1,964,159,8.4,8.0,8.0,7.2,67.9
B,Canadá,Canada,CAN,MARSCH Jesse,"pressão alta, verticalidade e transição rápida",4-2-3-1 / 3-4-3,muito alta,média,alta,controle emocional e exposição dos laterais,26,6.23,7.64,7.01,5.63,6.59,5.3,5.6,38.7,1005,140,8.5,9.0,5.0,8.0,67.0
E,Costa do Marfim,Côte D'Ivoire,CIV,FAE Emerse,"força física, transição e ataques pelos lados",4-3-3,alta,média,média-alta,controle do meio-campo,26,5.79,7.19,6.58,5.03,6.43,5.3,5.3,29.0,754,86,7.85,8.0,5.0,6.8,63.2
K,RD Congo,Congo DR,COD,DESABRE Sebastien,transição atlética e organização defensiva,4-2-3-1 / 4-3-3,alta,baixa-média,média,saída de bola sob pressão,26,5.7,7.14,6.41,4.76,5.59,5.3,4.93,31.6,822,81,8.05,8.0,4.0,5.0,61.0
