Função,Nome,Associação,Perfil de arbitragem FIFA 2026,Como avaliar individualmente,Fonte
Referee,AL JASSIM Abdulrahman,QAT,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,AL TURAIS Khalid,KSA,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,ARAKI Yusuke,JPN,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,ARTAN Omar Abdulkadir,SOM,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,ATCHO Pierre,GAB,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,BARTON Ivan,SLV,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,BEIDA Dahane,MTN,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,BENITEZ Juan Gabriel,PAR,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,CALDERON Juan,CRC,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,CLAUS Raphael,BRA,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,ELFATH Ismail,USA,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,ESKAS Espen,NOR,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,FAGHANI Alireza,AUS,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,FALCON PEREZ Yael,ARG,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,FISCHER Drew,CAN,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,GARAY Cristian,CHI,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,GARCIA Katia,MEX,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,GHORBAL Mustapha,ALG,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,HERNANDEZ Alejandro,ESP,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,HERRERA Dario,ARG,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,JAYED Jalal,MAR,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,KAWANA-WAUGH Campbell-Kirk,NZL,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,KOVACS Istvan,ROU,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,LETEXIER Francois,FRA,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,MA Ning,CHN,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,MAKHADMEH Adham,JOR,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
Referee,MAKKELIE Danny,NED,"Critério FIFA 2026: controle de ritmo, redução de cera, gestão disciplinar e apoio de tecnologia","Individualmente não há nota de estilo nesta planilha; recomenda-se alimentar com faltas/jogo, cartões/jogo, pênaltis e uso de VAR por árbitro.",https://digitalhub.fifa.com/asset/7879a8c6-c228-4848-a8de-7dc69b37b594/Final-List-of-Match-Officials-FWC-2026.pdf
